@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
182,'2018/01/18 18:16:09:857',4,0,1,0,0.47,0.68
183,'2018/01/18 18:16:09:877',4,0,1,0,0.47,0.68
184,'2018/01/18 18:16:09:897',4,0,1,0,0.47,0.68
185,'2018/01/18 18:16:09:917',4,0,1,0,0.47,0.68
186,'2018/01/18 18:16:09:937',4,0,1,0,0.47,0.68
187,'2018/01/18 18:16:09:957',4,0,1,0,0.47,0.68
188,'2018/01/18 18:16:09:977',4,0,1,0,0.47,0.68
189,'2018/01/18 18:16:09:997',4,0,1,0,0.47,0.68
190,'2018/01/18 18:16:10:017',4,0,1,0,0.47,0.68
191,'2018/01/18 18:16:10:037',4,0,1,0,0.47,0.68
192,'2018/01/18 18:16:10:057',4,0,1,0,0.47,0.68
193,'2018/01/18 18:16:10:077',4,0,1,0,0.47,0.68
