@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3}

@data
35,'2018/01/18 19:42:00:024',1,0.076189,0.61878,0.20964,0.973808,0.691565,0.543545,1,0.699295,0.551631,0.897223,1,0.426586,0.060702,0.122567,0.256015,0.034632,0.046738,0.04167,0.001614,0.00119,0.000828,0.001469,0.000556,0.00205,0.000136,?
36,'2018/01/18 19:42:00:043',1,0.105847,0.454234,0.229225,1,0.675609,0.674748,1,0.571681,0.444843,0.6671,0.914694,0.780884,0.122822,0.129759,0.294028,0.053016,0.071137,0.059055,0.001573,0.000955,0.000895,0.001368,0.000648,0.00431,0.000118,?
37,'2018/01/18 19:42:00:047',1,0.167417,0.580502,0.243632,1,0.836446,0.735693,1,0.282032,0.408285,0.460315,0.468304,0.991737,0.264644,0.156553,0.396305,0.093712,0.098632,0.061339,0.001875,0.000917,0.000961,0.000981,0.00062,0.004304,0.00011,?
38,'2018/01/18 19:42:00:059',1,0.116629,0.45845,0.231299,1,1,0.624542,0.827267,0.221237,0.201036,0.261981,0.219155,0.730727,0.354695,0.169415,0.508384,0.183317,0.099715,0.03447,0.001664,0.000821,0.000793,0.000876,0.000668,0.003237,0.000099,?
39,'2018/01/18 19:42:00:077',1,0.118664,0.520423,0.387643,1,1,0.25094,0.293089,0.148069,0.17567,0.189946,0.106635,0.438587,0.227993,0.114135,0.428773,0.238522,0.04635,0.013689,0.001362,0.001059,0.00067,0.000977,0.000664,0.001859,0.000098,?
40,'2018/01/18 19:42:00:082',1,0.118013,0.360141,0.384757,0.647639,0.474325,0.063024,0.121769,0.161596,0.099618,0.107989,0.101285,0.13292,0.102837,0.04444,0.180435,0.131368,0.011214,0.004552,0.001213,0.001027,0.000758,0.000561,0.000394,0.000397,0.000104,?
41,'2018/01/18 19:42:00:094',1,0.093611,0.370244,0.266517,0.558913,0.161951,0.102414,0.164571,0.206436,0.122965,0.124661,0.109702,0.07161,0.061091,0.033099,0.0895,0.03342,0.00826,0.003026,0.001037,0.000965,0.00084,0.000534,0.000363,0.000223,0.000098,?
42,'2018/01/18 19:42:00:105',1,0.113964,0.425987,0.126623,0.438365,0.098113,0.14943,0.253814,0.14458,0.108998,0.168262,0.08892,0.056552,0.027966,0.026263,0.063743,0.014563,0.006962,0.002245,0.001071,0.000832,0.000688,0.000519,0.000327,0.00021,0.000089,?
43,'2018/01/18 19:42:00:117',1,0.159919,0.486509,0.162235,0.411333,0.194655,0.18387,0.279824,0.105603,0.116551,0.122796,0.059485,0.073732,0.032744,0.016246,0.046477,0.01559,0.005219,0.001998,0.001282,0.000967,0.000678,0.000499,0.00033,0.000212,0.000102,?
44,'2018/01/18 19:42:00:129',1,0.078735,0.572429,0.197264,0.593832,0.124942,0.18029,0.272991,0.093261,0.06719,0.072887,0.057564,0.101547,0.032415,0.011482,0.051621,0.01133,0.005209,0.002497,0.001689,0.00094,0.000878,0.000647,0.000379,0.000235,0.000102,?
45,'2018/01/18 19:42:00:144',1,0.072996,0.569187,0.218637,0.678852,0.270439,0.18795,0.233583,0.078336,0.075293,0.058986,0.053697,0.126473,0.032615,0.032197,0.064262,0.029872,0.009032,0.01823,0.005346,0.00324,0.001136,0.000724,0.00055,0.000832,0.00011,?
46,'2018/01/18 19:42:00:152',1,0.097678,0.635714,0.349232,1,0.70747,0.319981,0.166228,0.059682,0.056079,0.058268,0.050263,0.099902,0.044602,0.220389,0.28965,0.193227,0.034852,0.052046,0.014262,0.004658,0.001348,0.000927,0.001873,0.002643,0.000226,?
47,'2018/01/18 19:42:00:163',1,0.088786,0.715362,0.606998,1,0.816409,0.396111,0.094105,0.070476,0.055294,0.059998,0.042686,0.060114,0.055089,0.233289,0.554076,0.448974,0.068502,0.075667,0.024222,0.001548,0.0009,0.001155,0.003621,0.005773,0.001039,?
48,'2018/01/18 19:42:00:176',1,0.117277,1,0.792529,1,1,0.35054,0.068201,0.060515,0.042834,0.034907,0.047626,0.056156,0.038136,0.143666,0.657731,0.554105,0.075769,0.080659,0.021615,0.001531,0.001057,0.002189,0.005731,0.009143,0.001764,?
49,'2018/01/18 19:42:00:187',1,0.29366,1,1,1,1,0.392178,0.073213,0.049543,0.043097,0.030172,0.0359,0.049886,0.025121,0.149039,0.70201,0.548135,0.089721,0.070994,0.024696,0.002023,0.001059,0.005287,0.004954,0.004554,0.001084,?
50,'2018/01/18 19:42:00:198',1,0.29519,0.956266,1,1,0.902995,0.418425,0.055317,0.06315,0.045006,0.031271,0.025404,0.029608,0.013275,0.127612,0.654393,0.528468,0.086109,0.064046,0.018876,0.001635,0.000907,0.005749,0.005674,0.005462,0.000843,?
51,'2018/01/18 19:42:00:210',1,0.077313,1,1,1,1,0.398487,0.096344,0.054529,0.029725,0.026074,0.022416,0.020732,0.01597,0.083639,0.520825,0.552935,0.071397,0.052729,0.017012,0.001384,0.000985,0.005264,0.004293,0.004957,0.000443,?
52,'2018/01/18 19:42:00:225',1,0.057008,0.846796,1,0.871074,1,0.336593,0.17545,0.048514,0.027256,0.013201,0.018226,0.021937,0.017396,0.046224,0.3769,0.396125,0.0476,0.039082,0.008238,0.001224,0.000933,0.003281,0.002585,0.00427,0.000318,?
53,'2018/01/18 19:42:00:233',1,0.121118,0.660789,1,0.619277,1,0.279492,0.240778,0.053958,0.02282,0.009549,0.01421,0.021999,0.008146,0.031347,0.266923,0.158304,0.028918,0.032201,0.009363,0.001388,0.001021,0.002823,0.004449,0.003026,0.000238,?
54,'2018/01/18 19:42:00:246',1,0.224873,0.796945,1,0.388203,1,0.114391,0.254945,0.059761,0.014758,0.010661,0.015244,0.025837,0.008713,0.022533,0.128451,0.063153,0.015747,0.02562,0.006664,0.001343,0.000897,0.001842,0.004336,0.003618,0.000142,?
55,'2018/01/18 19:42:00:260',1,0.345515,1,1,0.242318,0.898011,0.088965,0.285944,0.046192,0.019978,0.009251,0.021961,0.021473,0.010749,0.015763,0.075188,0.083508,0.009189,0.022488,0.009371,0.001102,0.000816,0.000959,0.00282,0.003603,0.000126,?
56,'2018/01/18 19:42:00:268',1,0.272068,0.788169,1,0.258144,0.729733,0.06133,0.272958,0.038417,0.028226,0.011131,0.017348,0.021361,0.008645,0.015895,0.07216,0.083699,0.006905,0.021958,0.011409,0.000854,0.000844,0.000803,0.002519,0.002444,0.000125,?
